Source,Target
99550697,zhangzongqian
99550697,156301461
99550697,nyserq
99550697,41758984
99550697,68153836
99550697,hugowai
99550697,49214222
99550697,130255362
99550697,80722428
99550697,46126259
99550697,133745914
99550697,80987709
99550697,1886385
99550697,cowbie
99550697,wusequanwei
99550697,FK621
99550697,61939090
99550697,iisakura
99550697,Plumed__Serpent
99550697,doghazel2002
99550697,122210003
99550697,68017098
99550697,82849374
99550697,zlqysct
99550697,qijiuzhiyue
Celine_Young,nobodyfilm
Celine_Young,71782646
Celine_Young,hijikataT
Celine_Young,35667737
Celine_Young,dearmaria
Celine_Young,47660316
Celine_Young,CathyChoi
Celine_Young,wubaidjl
Celine_Young,82683846
Celine_Young,catjiji
Celine_Young,musickenny
Celine_Young,Poping1013
Celine_Young,huzibeer
Celine_Young,shanshanqingzi
Celine_Young,dabaohao
Celine_Young,lolysheep
Celine_Young,morningmorning
Celine_Young,57394982
Celine_Young,zhou-xiao-dou
Celine_Young,neko-p
Celine_Young,petz
Celine_Young,miloyip
Celine_Young,warfalcon
Celine_Young,49414863
Celine_Young,EskimoFriend
Celine_Young,shinydaye
Celine_Young,dodolog
Celine_Young,hips
Celine_Young,cevia
Celine_Young,bensusanlana
Celine_Young,1306273
Celine_Young,67400654
Celine_Young,70459673
Celine_Young,human5
Celine_Young,atu123
Celine_Young,songlet
Celine_Young,63230793
Celine_Young,tsuyo
Celine_Young,Rilakkkkkuma
Celine_Young,veroniqueshadow
Celine_Young,panyuning
Celine_Young,parisburning
Celine_Young,wanying
Celine_Young,yemamayemama
Celine_Young,butu
Celine_Young,sissifairy
Celine_Young,fu
Celine_Young,guisiyuan
Celine_Young,4373850
Celine_Young,61956850
Celine_Young,SophieRu
Celine_Young,50869444
Celine_Young,karlnewx
Celine_Young,Rumii
Celine_Young,lizitou
Celine_Young,E15
Celine_Young,30056740
Celine_Young,60884095
Celine_Young,ffta20000
Celine_Young,xiaozaozi
Celine_Young,zhuanyefanyi
Celine_Young,malingcat
Celine_Young,23530655
Celine_Young,Soniawoolf
Celine_Young,wgwg105
Celine_Young,27344421
Celine_Young,Cyrusli
Celine_Young,bingzibang
Celine_Young,43557202
Celine_Young,47605421
Celine_Young,Latika.Mira
Celine_Young,55661991
Celine_Young,34383084
Celine_Young,54473629
Celine_Young,suyuzishi
Celine_Young,55867772
Celine_Young,54652524
Celine_Young,41681539
Celine_Young,1903755
Celine_Young,45687532
Celine_Young,mujiman
Celine_Young,Lushuosha
Celine_Young,4197569
Celine_Young,53401433
Celine_Young,46345789
Celine_Young,JING1005
Celine_Young,guangsuyan
Celine_Young,16402250
Celine_Young,52236203
Celine_Young,51977246
Celine_Young,yu126
Celine_Young,yumoli
Celine_Young,42660147
Celine_Young,tjz230
Celine_Young,ForWinsonliu
Celine_Young,MariahCD
Celine_Young,50840425
Celine_Young,37980619
Celine_Young,gzj8924685
Celine_Young,1768996
Celine_Young,48223544
Celine_Young,42274065
Celine_Young,26545838
Celine_Young,50326018
Celine_Young,youaremyheart
Celine_Young,violin0709
Celine_Young,43573128
Celine_Young,liangauto
Celine_Young,jayyy520
Celine_Young,49290495
Celine_Young,guaiguaidafei
Celine_Young,no27
Celine_Young,hooooooooha
Celine_Young,24583833
Celine_Young,38562432
Celine_Young,Z.Robert
Celine_Young,3126509
Celine_Young,jogging125
Celine_Young,mangok
Celine_Young,2553735
Celine_Young,45050657
Celine_Young,44838597
Celine_Young,34299380
Celine_Young,meravigliosa
Celine_Young,wangyong1984
Celine_Young,cobenzhang
Celine_Young,Mr_L11
Celine_Young,41963073
Celine_Young,NIANs
Celine_Young,Joe.jiayi.man
Celine_Young,littlekidjunbao
Celine_Young,aasian
Celine_Young,48806686
Celine_Young,bestubborn
Celine_Young,Benn.
Celine_Young,toptopgirl
Celine_Young,tabooo
Celine_Young,41845735
Celine_Young,FOREVERYANGER
Celine_Young,48230032
Celine_Young,zhuangdapu
Celine_Young,linxiaoleng
Celine_Young,44053572
Celine_Young,3424827
Celine_Young,38416286
Celine_Young,wenal
Celine_Young,sandanjiacuo
Celine_Young,alivelife
Celine_Young,28223526
Celine_Young,shaoenjun
Celine_Young,31662349
Celine_Young,s7lence
Celine_Young,42212830
Celine_Young,xiaoqi811
Celine_Young,1510011
Celine_Young,anlex
Celine_Young,tomatooooo
Celine_Young,ttwfj
Celine_Young,ellen.y
Celine_Young,46827791
Celine_Young,licheer
Celine_Young,Infinityward
Celine_Young,42582672
Celine_Young,Danny_thought
Celine_Young,clearhappy7
Celine_Young,frederick824
Celine_Young,2666860
Celine_Young,2145014
88180115,Sim-Simi
88180115,76012371
88180115,133306111
88180115,67689872
88180115,145800693
88180115,136832989
88180115,143681522
88180115,145733030
88180115,145810611
88180115,145795020
88180115,145819236
88180115,145800462
88180115,143719142
88180115,145810272
88180115,145811126
88180115,138431755
88180115,126118075
88180115,145809197
88180115,120212266
88180115,144293069
88180115,143646539
88180115,141428767
88180115,143621136
88180115,131560544
88180115,123002927
88180115,143571882
88180115,115657523
88180115,143640922
88180115,143636997
88180115,143665602
88180115,133433152
88180115,143634461
88180115,aixiaoke
88180115,MovieL
88180115,oldmanriver
88180115,zhangzongqian
88180115,vcd
88180115,qijiuzhiyue
88180115,selfgrowing
88180115,gopngyi
88180115,1961170
88180115,norra
88180115,andrewyu
88180115,wanpi
88180115,141388999
88180115,143027491
88180115,123268770
83358579,misscatcatcat
83358579,diewithme
83358579,yimaxxduck
83358579,149113392
83358579,52882108
83358579,Merlynnnnn
83358579,126327216
83358579,amberose
83358579,154158422
83358579,cctongxue
83358579,3934738
83358579,82315282
83358579,2529927
83358579,35669304
83358579,youngjunxian
83358579,143759484
83358579,love_martin26
83358579,4324337
83358579,127813455
BettyLuu,51610855
BettyLuu,147681591
BettyLuu,95805238
BettyLuu,3196047
BettyLuu,wangxxno1
BettyLuu,60638807
BettyLuu,mia630
BettyLuu,63228477
141330429,157190289
141330429,157120820
141330429,144608397
141330429,wy19960122
141330429,57940836
141330429,141479537
141330429,97824403
141330429,145335127
141330429,141579526
141330429,63476723
141330429,asdfghjmydkycdn
152281142,32141290
152281142,Sim-Simi
152281142,123430710
152281142,49395554
152281142,75409582
152281142,47540698
152281142,153287930
149570359,Huabenye
149570359,jhz
149570359,yimaxxduck
149570359,tieliuwudi
149570359,156422207
149570359,150478195
149570359,47901030
149570359,132352403
149570359,32141290
149570359,chenbolin
149570359,CandyDollee
149570359,49395554
149570359,155637963
149570359,54767000
149570359,141404336
149570359,152854918
149570359,rosvita
149570359,bagualaile
149570359,MoNoMilky
149570359,firo
149570359,hachinn
149570359,straw_berry
149570359,dearnaicha
149570359,142796332
149570359,Sim-Simi
sophia_yang,nobodyfilm
sophia_yang,134720760
sophia_yang,2529927
sophia_yang,CrusaderTan
sophia_yang,lijiayi
sophia_yang,133645138
sophia_yang,wqyi
sophia_yang,3503430
sophia_yang,xiaopapi
sophia_yang,56767696
sophia_yang,89964042
sophia_yang,70399742
sophia_yang,nan_sheep
sophia_yang,daisyluoying
sophia_yang,3535619
sophia_yang,78319514
sophia_yang,CyanRose04
sophia_yang,sq77277
sophia_yang,luxiling
sophia_yang,ArkiHuang
sophia_yang,dic8023angelic
sophia_yang,84300774
sophia_yang,56675268
sophia_yang,linulaoyao
sophia_yang,qingeee
sophia_yang,yanshudetudou
sophia_yang,71261105
sophia_yang,78400036
sophia_yang,uncleglass
sophia_yang,em0n
sophia_yang,73530078
sophia_yang,fiona0616
sophia_yang,30056740
sophia_yang,blacktea077
sophia_yang,zhangjiawei
sophia_yang,65281554
sophia_yang,meiyang
sophia_yang,66689025
sophia_yang,61056962
sophia_yang,4221013
sophia_yang,mmmaommmao
sophia_yang,amble-eyes
sophia_yang,meiya
sophia_yang,antony0411
sophia_yang,39297766
sophia_yang,4621084
sophia_yang,54584685
sophia_yang,warmtoday
sophia_yang,2448094
sophia_yang,52173140
sophia_yang,lilithcookie
sophia_yang,can_not
sophia_yang,God_CleAn
sophia_yang,46040157
sophia_yang,majest77
sophia_yang,Donut_sun
sophia_yang,guyi
sophia_yang,53632493
sophia_yang,tianzhimomo
sophia_yang,smileface_
sophia_yang,45261554
sophia_yang,daisychen1942
sophia_yang,GodCookery
sophia_yang,lovejany
sophia_yang,tomisay
sophia_yang,8496623
sophia_yang,jarofhearts
sophia_yang,31312391
sophia_yang,45616108
sophia_yang,Kevin_fan520
sophia_yang,Johnhero
sophia_yang,yongbaowo
sophia_yang,Lije
sophia_yang,2986977
sophia_yang,linzhu
sophia_yang,journeylovegood
sophia_yang,valetime
sophia_yang,quaterfoil
sophia_yang,vonwang
sophia_yang,kidear
sophia_yang,52932312
sophia_yang,manic88
sophia_yang,haruko1112
sophia_yang,LOGO1210
sophia_yang,48439756
sophia_yang,45877296
sophia_yang,xiaochen729
sophia_yang,bigrice0419
sophia_yang,elvina
sophia_yang,bellabaa
sophia_yang,daodai89
sophia_yang,51387596
sophia_yang,yyy18n
sophia_yang,musiqsoulchild
sophia_yang,coolkihe
sophia_yang,zeajin
sophia_yang,49125877
sophia_yang,cynfishnb
sophia_yang,jdx
sophia_yang,laterlynn
sophia_yang,51427045
sophia_yang,ztiti
sophia_yang,46884979
sophia_yang,nadianhong
sophia_yang,may0510
sophia_yang,yeguxing
sophia_yang,36568130
sophia_yang,ahbei
sophia_yang,iridescentme
sophia_yang,micheal1912
sophia_yang,hebellalpselina
sophia_yang,51087297
sophia_yang,cainelee
sophia_yang,olivesayhi
sophia_yang,36442804
sophia_yang,qiuchisb
sophia_yang,43957427
sophia_yang,ismm
sophia_yang,47858561
sophia_yang,48073343
sophia_yang,maxineY
sophia_yang,49393373
sophia_yang,49629676
sophia_yang,hugobook
sophia_yang,49442146
sophia_yang,Mmzshuo
sophia_yang,yummy2khalil
sophia_yang,wang-xiaoya
sophia_yang,Hello17
sophia_yang,ruchu
sophia_yang,lilith_H
sophia_yang,47114145
sophia_yang,terdoor
sophia_yang,unicornsweety
sophia_yang,ppdgt
sophia_yang,sw051029
sophia_yang,mushro
sophia_yang,lulu329
sophia_yang,qianniaogezi
sophia_yang,yingyuxuan720
sophia_yang,baixiaoyi
sophia_yang,4731149
sophia_yang,35802266
sophia_yang,gtt723
sophia_yang,muxin0214
sophia_yang,lovein1991alice
sophia_yang,beibei0129
sophia_yang,childhooder
sophia_yang,szduanzu
sophia_yang,43081214
sophia_yang,doubanclock
sophia_yang,42254421
sophia_yang,choudao
sophia_yang,gaoxiaotuo
sophia_yang,Jimme
sophia_yang,4485228
sophia_yang,1641616
sophia_yang,29295954
sophia_yang,pengpengpig
sophia_yang,3205568
sophia_yang,44618327
sophia_yang,wuye2011
dalaoshi9999,hansongluo
dalaoshi9999,4607872
dalaoshi9999,veverlee
dalaoshi9999,CheninBlanc
dalaoshi9999,50627907
dalaoshi9999,feifeiyu
dalaoshi9999,68674832
dalaoshi9999,152854918
dalaoshi9999,slowwitter
dalaoshi9999,155901765
dalaoshi9999,nobodyfilm
dalaoshi9999,tieliuwudi
dalaoshi9999,suicide13
dalaoshi9999,huangye3
dalaoshi9999,68025190
dalaoshi9999,66625050
dalaoshi9999,36527592
dalaoshi9999,89531759
dalaoshi9999,57944109
dalaoshi9999,qijiuzhiyue
dalaoshi9999,ljgyhj
dalaoshi9999,flowermumu
dalaoshi9999,dreamernation
dalaoshi9999,81965947
dalaoshi9999,mackalex
dalaoshi9999,alexcite
dalaoshi9999,80797429
dalaoshi9999,132032689
dalaoshi9999,Sim-Simi
dalaoshi9999,148167690
dalaoshi9999,124561493
dalaoshi9999,115221020
dalaoshi9999,130298129
dalaoshi9999,nimamui
dalaoshi9999,46273561
dalaoshi9999,luhua
dalaoshi9999,zhaoxingstar
dalaoshi9999,131078453
sugicsq,nobodyfilm
sugicsq,chrisyoopsy
sugicsq,63868115
sugicsq,96789259
sugicsq,1720594
sugicsq,122772810
sugicsq,152252477
sugicsq,gogotroy
sugicsq,129346634
sugicsq,57478739
sugicsq,wenlizhou
sugicsq,su_maixne
sugicsq,52882108
sugicsq,Lushuosha
sugicsq,56645342
sugicsq,Sherry_shiyi
sugicsq,2598648
sugicsq,commit
sugicsq,68318736
sugicsq,diamonster
sugicsq,wuxiaoxian
sugicsq,63284669
sugicsq,iLoovee
sugicsq,ruya
sugicsq,sunqc
sugicsq,dreamdreamdream
sugicsq,vikloxon
sugicsq,mochizukikaoru
sugicsq,76256802
sugicsq,52540923
sugicsq,2099482
sugicsq,2834785
sugicsq,mirocn
sugicsq,20033829
sugicsq,zaysoso
sugicsq,gum
sugicsq,tifaqu
sugicsq,wintam
sugicsq,sima1
sugicsq,cricketfish
sugicsq,53012265
sugicsq,EanY
sugicsq,pigmiura
sugicsq,bluecrow
sugicsq,albee___txm
sugicsq,nblinlin
sugicsq,ChannaDisco
sugicsq,reflect
sugicsq,foxjoan
sugicsq,dbgz
sugicsq,55694589
sugicsq,numberw
sugicsq,yemamayemama
sugicsq,nirvana7
sugicsq,xxuxx
sugicsq,sandysea
sugicsq,x7788
sugicsq,61634172
sugicsq,karlnewx
sugicsq,panyuning
sugicsq,KAY-FONG
sugicsq,65079703
sugicsq,river2joy
sugicsq,fanfanlove
sugicsq,sky426
sugicsq,wang2mu
sugicsq,nimanggi
sugicsq,57698242
sugicsq,1405807
sugicsq,RyeVanish
sugicsq,LevineZhi
sugicsq,lff121
sugicsq,omelissokomos
sugicsq,Diandianlan
sugicsq,60435290
sugicsq,IsmuImzz
sugicsq,pandabao
sugicsq,40430939
sugicsq,donbou11
sugicsq,54563897
sugicsq,persuader
sugicsq,bearis
sugicsq,ATUPHOTO
sugicsq,plumestreet
sugicsq,erikaonly
sugicsq,fresh.daily
sugicsq,wunching
sugicsq,jenny107
sugicsq,kilo.mo
sugicsq,sophiediao
sugicsq,akhuang
sugicsq,fengyunge
sugicsq,51958071
sugicsq,lionbb
sugicsq,lijialan
sugicsq,Betty-Su
