Id,Label,timeset,modularity_class,indegree,outdegree,degree
99550697,,,0,0,25,25
zhangzongqian,,,11,39,0,39
156301461,,,0,1,0,1
nyserq,,,0,2,0,2
41758984,,,0,1,0,1
68153836,,,0,1,0,1
hugowai,,,0,2,0,2
49214222,,,0,1,0,1
130255362,,,0,1,0,1
80722428,,,0,4,136,140
46126259,,,0,1,0,1
133745914,,,0,1,0,1
80987709,,,0,1,0,1
1886385,,,0,1,0,1
cowbie,,,0,1,0,1
wusequanwei,,,0,6,0,6
FK621,,,0,1,0,1
61939090,,,0,1,0,1
iisakura,,,0,4,0,4
Plumed__Serpent,,,0,1,0,1
doghazel2002,,,33,4,0,4
122210003,,,0,1,0,1
68017098,,,0,1,0,1
82849374,,,0,1,0,1
zlqysct,,,0,3,0,3
qijiuzhiyue,,,11,67,0,67
Celine_Young,,,33,0,168,168
nobodyfilm,,,33,21,0,21
71782646,,,33,1,0,1
hijikataT,,,33,1,0,1
35667737,,,33,1,0,1
dearmaria,,,29,2,0,2
47660316,,,33,1,0,1
CathyChoi,,,33,1,0,1
wubaidjl,,,33,1,0,1
82683846,,,33,1,0,1
catjiji,,,33,1,0,1
musickenny,,,33,17,0,17
Poping1013,,,33,3,0,3
huzibeer,,,33,4,0,4
shanshanqingzi,,,33,1,0,1
dabaohao,,,33,2,0,2
lolysheep,,,33,4,0,4
morningmorning,,,33,2,0,2
57394982,,,33,2,0,2
zhou-xiao-dou,,,33,5,0,5
neko-p,,,33,1,0,1
petz,,,33,5,0,5
miloyip,,,33,1,0,1
warfalcon,,,33,2,0,2
49414863,,,33,1,0,1
EskimoFriend,,,8,3,0,3
shinydaye,,,11,3,0,3
dodolog,,,33,2,0,2
hips,,,33,1,0,1
cevia,,,33,1,0,1
bensusanlana,,,33,1,0,1
1306273,,,11,5,0,5
67400654,,,33,1,0,1
70459673,,,33,2,0,2
human5,,,33,3,0,3
atu123,,,33,1,0,1
songlet,,,33,8,0,8
63230793,,,33,1,0,1
tsuyo,,,33,4,0,4
Rilakkkkkuma,,,33,1,0,1
veroniqueshadow,,,33,2,0,2
panyuning,,,33,3,0,3
parisburning,,,33,4,0,4
wanying,,,33,3,0,3
yemamayemama,,,11,5,0,5
butu,,,33,4,0,4
sissifairy,,,33,3,0,3
fu,,,33,1,0,1
guisiyuan,,,33,1,0,1
4373850,,,33,1,0,1
61956850,,,33,1,0,1
SophieRu,,,33,1,0,1
50869444,,,33,1,0,1
karlnewx,,,33,8,0,8
Rumii,,,1,4,0,4
lizitou,,,33,6,0,6
E15,,,33,1,0,1
30056740,,,33,9,0,9
60884095,,,33,1,0,1
ffta20000,,,33,1,0,1
xiaozaozi,,,33,1,0,1
zhuanyefanyi,,,33,1,0,1
malingcat,,,11,11,0,11
23530655,,,33,1,0,1
Soniawoolf,,,33,5,0,5
wgwg105,,,33,1,0,1
27344421,,,33,1,0,1
Cyrusli,,,33,1,0,1
bingzibang,,,33,1,0,1
43557202,,,33,1,0,1
47605421,,,33,1,0,1
Latika.Mira,,,33,1,0,1
55661991,,,33,1,0,1
34383084,,,33,1,0,1
54473629,,,33,1,0,1
suyuzishi,,,33,1,0,1
55867772,,,33,1,0,1
54652524,,,33,1,0,1
41681539,,,33,1,0,1
1903755,,,33,1,0,1
45687532,,,33,1,0,1
mujiman,,,11,3,0,3
Lushuosha,,,33,5,0,5
4197569,,,33,1,0,1
53401433,,,33,1,0,1
46345789,,,33,1,0,1
JING1005,,,33,1,0,1
guangsuyan,,,33,1,0,1
16402250,,,33,1,0,1
52236203,,,33,1,0,1
51977246,,,33,1,0,1
yu126,,,33,1,0,1
yumoli,,,33,1,0,1
42660147,,,33,1,0,1
tjz230,,,33,38,0,38
ForWinsonliu,,,33,1,0,1
MariahCD,,,33,1,0,1
50840425,,,33,1,0,1
37980619,,,33,1,0,1
gzj8924685,,,33,1,0,1
1768996,,,33,1,0,1
48223544,,,33,1,0,1
42274065,,,33,1,0,1
26545838,,,33,1,0,1
50326018,,,33,1,0,1
youaremyheart,,,33,1,0,1
violin0709,,,33,1,0,1
43573128,,,33,1,0,1
liangauto,,,33,1,0,1
jayyy520,,,33,1,0,1
49290495,,,33,1,0,1
guaiguaidafei,,,33,1,0,1
no27,,,33,1,0,1
hooooooooha,,,33,1,0,1
24583833,,,33,1,0,1
38562432,,,33,1,0,1
Z.Robert,,,33,1,0,1
3126509,,,33,1,0,1
jogging125,,,33,1,0,1
mangok,,,33,1,0,1
2553735,,,33,1,0,1
45050657,,,33,1,0,1
44838597,,,33,1,0,1
34299380,,,33,1,0,1
meravigliosa,,,33,1,0,1
wangyong1984,,,33,1,0,1
cobenzhang,,,33,1,0,1
Mr_L11,,,33,1,0,1
41963073,,,33,1,0,1
NIANs,,,33,1,0,1
Joe.jiayi.man,,,33,1,0,1
littlekidjunbao,,,33,1,0,1
aasian,,,33,1,0,1
48806686,,,33,1,0,1
bestubborn,,,33,1,0,1
Benn.,,,33,1,0,1
toptopgirl,,,33,1,0,1
tabooo,,,33,1,0,1
41845735,,,33,1,0,1
FOREVERYANGER,,,33,1,0,1
48230032,,,33,1,0,1
zhuangdapu,,,33,1,0,1
linxiaoleng,,,33,1,0,1
44053572,,,33,1,0,1
3424827,,,33,1,0,1
38416286,,,33,1,0,1
wenal,,,33,1,0,1
sandanjiacuo,,,33,1,0,1
alivelife,,,33,1,0,1
28223526,,,33,1,0,1
shaoenjun,,,33,1,0,1
31662349,,,33,1,0,1
s7lence,,,33,1,0,1
42212830,,,33,1,0,1
xiaoqi811,,,33,1,0,1
1510011,,,33,1,0,1
anlex,,,33,1,0,1
tomatooooo,,,33,1,0,1
ttwfj,,,33,1,0,1
ellen.y,,,33,1,0,1
46827791,,,33,1,0,1
licheer,,,33,1,0,1
Infinityward,,,33,1,0,1
42582672,,,33,1,0,1
Danny_thought,,,33,1,0,1
clearhappy7,,,33,1,0,1
frederick824,,,33,1,0,1
2666860,,,33,1,0,1
2145014,,,33,1,0,1
88180115,,,11,0,47,47
Sim-Simi,,,8,11,0,11
76012371,,,11,1,0,1
133306111,,,11,1,0,1
67689872,,,11,1,0,1
145800693,,,11,1,0,1
136832989,,,11,1,0,1
143681522,,,11,1,0,1
145733030,,,11,1,0,1
145810611,,,11,1,0,1
145795020,,,11,1,0,1
145819236,,,11,1,0,1
145800462,,,11,1,0,1
143719142,,,11,1,0,1
145810272,,,11,1,0,1
145811126,,,11,1,0,1
138431755,,,11,1,0,1
126118075,,,11,1,0,1
145809197,,,11,1,0,1
120212266,,,11,1,0,1
144293069,,,11,1,0,1
143646539,,,11,1,0,1
141428767,,,11,1,0,1
143621136,,,11,1,0,1
131560544,,,11,1,0,1
123002927,,,11,1,0,1
143571882,,,11,1,0,1
115657523,,,11,1,0,1
143640922,,,11,1,0,1
143636997,,,11,1,0,1
143665602,,,11,1,0,1
133433152,,,11,1,0,1
143634461,,,11,1,0,1
aixiaoke,,,11,21,0,21
MovieL,,,11,38,0,38
oldmanriver,,,11,8,0,8
vcd,,,11,8,0,8
selfgrowing,,,11,2,0,2
gopngyi,,,11,1,0,1
1961170,,,11,1,0,1
norra,,,11,1,0,1
andrewyu,,,11,1,0,1
wanpi,,,11,1,0,1
141388999,,,11,1,0,1
143027491,,,11,1,0,1
123268770,,,11,1,0,1
83358579,,,11,0,19,19
misscatcatcat,,,11,1,0,1
diewithme,,,11,5,0,5
yimaxxduck,,,8,8,0,8
149113392,,,8,5,0,5
52882108,,,11,2,0,2
Merlynnnnn,,,11,1,0,1
126327216,,,11,1,0,1
amberose,,,11,8,0,8
154158422,,,11,2,0,2
cctongxue,,,11,2,0,2
3934738,,,11,3,0,3
82315282,,,11,1,0,1
2529927,,,8,4,0,4
35669304,,,11,1,0,1
youngjunxian,,,11,1,0,1
143759484,,,11,1,0,1
love_martin26,,,11,1,0,1
4324337,,,11,1,0,1
127813455,,,11,1,0,1
BettyLuu,,,33,0,8,8
51610855,,,33,2,0,2
147681591,,,33,3,0,3
95805238,,,11,11,0,11
3196047,,,33,2,0,2
wangxxno1,,,33,4,0,4
60638807,,,33,1,0,1
mia630,,,33,1,0,1
63228477,,,33,1,0,1
141330429,,,2,0,11,11
157190289,,,2,1,0,1
157120820,,,2,1,0,1
144608397,,,2,1,0,1
wy19960122,,,2,1,0,1
57940836,,,2,1,0,1
141479537,,,2,1,0,1
97824403,,,2,1,0,1
145335127,,,2,1,0,1
141579526,,,2,1,0,1
63476723,,,2,1,0,1
asdfghjmydkycdn,,,2,1,0,1
152281142,,,8,0,7,7
32141290,,,8,2,0,2
123430710,,,8,1,0,1
49395554,,,8,4,0,4
75409582,,,8,4,0,4
47540698,,,8,1,0,1
153287930,,,8,1,0,1
149570359,,,8,0,25,25
Huabenye,,,8,1,0,1
jhz,,,8,2,0,2
tieliuwudi,,,8,4,0,4
156422207,,,8,1,0,1
150478195,,,8,2,0,2
47901030,,,8,2,0,2
132352403,,,8,4,0,4
chenbolin,,,8,7,0,7
CandyDollee,,,8,2,0,2
155637963,,,8,3,0,3
54767000,,,8,1,0,1
141404336,,,8,1,0,1
152854918,,,8,2,0,2
rosvita,,,8,1,0,1
bagualaile,,,11,4,0,4
MoNoMilky,,,8,1,0,1
firo,,,8,5,0,5
hachinn,,,8,2,0,2
straw_berry,,,8,1,0,1
dearnaicha,,,8,4,0,4
142796332,,,8,1,0,1
sophia_yang,,,33,0,162,162
134720760,,,33,1,0,1
CrusaderTan,,,33,2,0,2
lijiayi,,,33,1,0,1
133645138,,,33,1,0,1
wqyi,,,33,1,0,1
3503430,,,33,1,0,1
xiaopapi,,,33,14,0,14
56767696,,,33,1,0,1
89964042,,,33,1,0,1
